City,Highest_Expense_Type,Lowest_Expense_Type
"Malerkotla, India",Grocery,Food
"Malkapur, India",Bills,Entertainment
"Malout, India",Entertainment,Bills
"Malpura, India",Entertainment,Fuel
"Malur, India",Grocery,Entertainment
"Manavadar, India",Fuel,Grocery
"Mancherial, India",Grocery,Entertainment
"Mandamarri, India",Bills,Fuel
"Mandapeta, India",Bills,Entertainment
"Mandi Dabwali, India",Entertainment,Grocery
"Mandi, India",Food,Entertainment
"Mandideep, India",Grocery,Bills
"Mandla, India",Fuel,Bills
"Mandsaur, India",Food,Fuel
"Mandvi, India",Entertainment,Food
"Mandya, India",Grocery,Bills
"Manendragarh, India",Fuel,Entertainment
"Maner, India",Bills,Fuel
"Mangaluru, India",Grocery,Food
"Manglaur, India",Fuel,Food
"Mangrol, India",Entertainment,Fuel
"Mangrulpir, India",Grocery,Bills
"Manjlegaon, India",Grocery,Food
"Mankachar, India",Bills,Grocery
"Manmad, India",Entertainment,Food
"Mansa, India",Entertainment,Grocery
"Manuguru, India",Food,Entertainment
"Manvi, India",Bills,Grocery
"Manwath, India",Bills,Entertainment
"Mapusa, India",Food,Grocery
"Margao, India",Bills,Food
"Markapur, India",Entertainment,Bills
"Marmagao, India",Food,Grocery
"Masaurhi, India",Bills,Entertainment
"Mathura, India",Grocery,Fuel
"Mattannur, India",Grocery,Fuel
"Mavelikkara, India",Fuel,Bills
"Mavoor, India",Food,Bills
"Medak, India",Bills,Entertainment
"Medininagar (Daltonganj), India",Grocery,Entertainment
"Medinipur, India",Bills,Grocery
"Meerut, India",Entertainment,Food
"Mehkar, India",Fuel,Bills
"Memari, India",Fuel,Entertainment
"Merta City, India",Grocery,Fuel
"Mhow Cantonment, India",Bills,Fuel
"Mihijam, India",Grocery,Fuel
"Mira-Bhayandar, India",Bills,Bills
"Miryalaguda, India",Food,Fuel
"Modasa, India",Fuel,Food
"Modinagar, India",Entertainment,Food
"Moga, India",Bills,Grocery
"Mohali, India",Fuel,Bills
"Mokameh, India",Food,Grocery
"Mokokchung, India",Food,Entertainment
"Moradabad, India",Entertainment,Fuel
"Morena, India",Fuel,Food
"Morshi, India",Bills,Grocery
"Morvi, India",Bills,Entertainment
"Motihari, India",Entertainment,Bills
"Mudalagi, India",Bills,Entertainment
"Muddebihal, India",Food,Entertainment
"Mudhol, India",Entertainment,Bills
"Muktsar, India",Entertainment,Bills
"Mulbagal, India",Entertainment,Bills
"Mundi, India",Entertainment,Bills
"Mungeli, India",Food,Grocery
"Munger, India",Food,Grocery
"Murshidabad, India",Entertainment,Food
"Murtijapur, India",Grocery,Fuel
"Murwara (Katni), India",Grocery,Bills
"Musabani, India",Entertainment,Grocery
"Mussoorie, India",Grocery,Entertainment
"Muvattupuzha, India",Fuel,Bills
"Muzaffarpur, India",Grocery,Food
"Mysore, India",Grocery,Bills
"Nabadwip, India",Fuel,Food
"Nabarangapur, India",Grocery,Food
"Nabha, India",Fuel,Food
"Nadbai, India",Fuel,Entertainment
"Nadiad, India",Grocery,Entertainment
"Nagaon, India",Food,Entertainment
"Nagapattinam, India",Bills,Grocery
"Nagari, India",Food,Fuel
"Nagarkurnool, India",Grocery,Bills
"Nagaur, India",Entertainment,Food
"Nagda, India",Fuel,Food
"Nagercoil, India",Food,Entertainment
"Nagina, India",Grocery,Fuel
"Nagpur, India",Food,Entertainment
"Nahan, India",Entertainment,Bills
"Naharlagun, India",Bills,Entertainment
"Naidupet, India",Entertainment,Bills
"Naihati, India",Fuel,Bills
"Naila Janjgir, India",Entertainment,Food
"Nainital, India",Fuel,Bills
"Najibabad, India",Grocery,Fuel
"Nakodar, India",Fuel,Entertainment
"Nalbari, India",Food,Bills
"Namakkal, India",Fuel,Grocery
"Nanded-Waghala, India",Grocery,Fuel
"Nandivaram-Guduvancheri, India",Fuel,Bills
"Nandura, India",Bills,Bills
"Nandurbar, India",Food,Fuel
"Nandyal, India",Bills,Grocery
"Nangal, India",Food,Grocery
"Nanjangud, India",Food,Bills
"Nanjikottai, India",Fuel,Bills
"Nanpara, India",Grocery,Food
"Narasapuram, India",Bills,Entertainment
"Narasaraopet, India",Bills,Bills
"Narayanpet, India",Entertainment,Food
"Nargund, India",Food,Grocery
"Narkatiaganj, India",Fuel,Grocery
"Narnaul, India",Fuel,Entertainment
"Narsinghgarh, India",Fuel,Bills
"Narsipatnam, India",Entertainment,Bills
"Narwana, India",Fuel,Fuel
"Nashik, India",Food,Bills
"Nasirabad, India",Food,Fuel
"Nathdwara, India",Entertainment,Food
"Naugachhia, India",Fuel,Bills
"Naugawan Sadat, India",Fuel,Grocery
"Nautanwa, India",Food,Entertainment
"Navi Mumbai, India",Entertainment,Bills
"Navsari, India",Entertainment,Bills
"Nawabganj, India",Fuel,Entertainment
"Nawada, India",Food,Entertainment
"Nawanshahr, India",Fuel,Entertainment
"Nawapur, India",Grocery,Fuel
"Nedumangad, India",Grocery,Bills
"Neem-Ka-Thana, India",Food,Bills
"Neemuch, India",Food,Bills
"Nehtaur, India",Entertainment,Fuel
"Nelamangala, India",Fuel,Entertainment
"Nellikuppam, India",Food,Grocery
"Nellore, India",Entertainment,Food
"Nepanagar, India",Entertainment,Bills
"New Delhi, India",Bills,Fuel
"Neyveli (TS), India",Fuel,Bills
"Neyyattinkara, India",Grocery,Fuel
"Nidadavole, India",Fuel,Bills
"Nilambur, India",Food,Bills
"Nilanga, India",Food,Bills
"Nimbahera, India",Entertainment,Grocery
"Nirmal, India",Food,Bills
"Nizamabad, India",Fuel,Entertainment
"Nohar, India",Bills,Food
"Noida, India",Fuel,Food
"Nokha, India",Entertainment,Grocery
"Nongstoin, India",Entertainment,Fuel
"Noorpur, India",Grocery,Entertainment
"North Lakhimpur, India",Bills,Food
"Nowgong, India",Fuel,Grocery
"Nuzvid, India",Entertainment,Food
"Oddanchatram, India",Grocery,Bills
"Ongole, India",Fuel,Bills
"Orai, India",Grocery,Fuel
"Osmanabad, India",Bills,Grocery
"Ottappalam, India",Grocery,Food
"Ozar, India",Bills,Entertainment
"Pachora, India",Entertainment,Fuel
"Padra, India",Fuel,Entertainment
"Padrauna, India",Fuel,Bills
"Paithan, India",Bills,Food
"Pakaur, India",Fuel,Entertainment
"Palacole, India",Food,Fuel
"Palakkad, India",Grocery,Bills
"Palani, India",Fuel,Entertainment
"Palanpur, India",Food,Fuel
"Palasa Kasibugga, India",Bills,Food
"Palghar, India",Fuel,Entertainment
"Pali, India",Entertainment,Bills
"Palia Kalan, India",Fuel,Entertainment
"Palitana, India",Fuel,Entertainment
"Palladam, India",Fuel,Entertainment
"Palwal, India",Fuel,Entertainment
"Palwancha, India",Grocery,Fuel
"Panaji, India",Bills,Food
"Panchkula, India",Fuel,Food
"Pandharkaoda, India",Grocery,Fuel
"Pandharpur, India",Bills,Entertainment
"Pandhurna, India",Bills,Grocery
"Pandua, India",Entertainment,Grocery
"Panipat, India",Fuel,Food
"Panna, India",Bills,Entertainment
"Panruti, India",Fuel,Grocery
